,date,value
903,1949-12-01,44596
904,1949-11-01,43653
905,1949-10-01,43447
906,1949-09-01,44335
907,1949-08-01,43823
908,1949-07-01,43352
909,1949-06-01,43668
910,1949-05-01,43636
911,1949-04-01,43881
912,1949-03-01,43747
913,1949-02-01,43821
914,1949-01-01,44159
915,1948-12-01,46074
916,1948-11-01,45588
917,1948-10-01,45693
918,1948-09-01,45796
919,1948-08-01,45338
920,1948-07-01,44989
921,1948-06-01,44951
922,1948-05-01,44471
923,1948-04-01,44082
924,1948-03-01,44291
925,1948-02-01,43956
926,1948-01-01,44224
927,1947-12-01,45514
928,1947-11-01,44807
929,1947-10-01,44741
930,1947-09-01,44591
931,1947-08-01,44066
932,1947-07-01,43604
933,1947-06-01,43764
934,1947-05-01,43392
935,1947-04-01,43309
936,1947-03-01,43349
937,1947-02-01,43100
938,1947-01-01,43108
939,1946-12-01,44140
940,1946-11-01,43612
941,1946-10-01,43275
942,1946-09-01,43176
943,1946-08-01,42724
944,1946-07-01,42082
945,1946-06-01,41763
946,1946-05-01,41211
947,1946-04-01,40816
948,1946-03-01,40033
949,1946-02-01,38865
950,1946-01-01,39413
951,1945-12-01,39692
952,1945-11-01,39110
953,1945-10-01,38659
954,1945-09-01,38680
955,1945-08-01,40544
956,1945-07-01,40909
957,1945-06-01,41276
958,1945-05-01,41249
959,1945-04-01,41393
960,1945-03-01,41653
961,1945-02-01,41516
962,1945-01-01,41444
963,1944-12-01,42320
964,1944-11-01,41800
965,1944-10-01,41758
966,1944-09-01,41855
967,1944-08-01,41963
968,1944-07-01,42023
969,1944-06-01,42135
970,1944-05-01,41951
971,1944-04-01,41983
972,1944-03-01,42076
973,1944-02-01,42075
974,1944-01-01,42135
975,1943-12-01,43153
976,1943-11-01,42945
977,1943-10-01,42827
978,1943-09-01,42753
979,1943-08-01,42720
980,1943-07-01,42868
981,1943-06-01,42974
982,1943-05-01,42542
983,1943-04-01,42507
984,1943-03-01,42216
985,1943-02-01,41810
986,1943-01-01,41578
987,1942-12-01,42322
988,1942-11-01,41863
989,1942-10-01,41832
990,1942-09-01,41663
991,1942-08-01,41226
992,1942-07-01,40625
993,1942-06-01,40172
994,1942-05-01,39686
995,1942-04-01,39138
996,1942-03-01,38488
997,1942-02-01,37833
998,1942-01-01,37706
999,1941-12-01,38548
1000,1941-11-01,38293
1001,1941-10-01,38407
1002,1941-09-01,38354
1003,1941-08-01,37799
1004,1941-07-01,37262
1005,1941-06-01,36736
1006,1941-05-01,36062
1007,1941-04-01,35197
1008,1941-03-01,34592
1009,1941-02-01,34119
1010,1941-01-01,33833
1011,1940-12-01,34653
1012,1940-11-01,34000
1013,1940-10-01,33806
1014,1940-09-01,33379
1015,1940-08-01,32586
1016,1940-07-01,32019
1017,1940-06-01,32016
1018,1940-05-01,31738
1019,1940-04-01,31397
1020,1940-03-01,31328
1021,1940-02-01,30995
1022,1940-01-01,30966
1023,1939-12-01,32037
1024,1939-11-01,31837
1025,1939-10-01,31975
1026,1939-09-01,31608
1027,1939-08-01,30870
1028,1939-07-01,30472
1029,1939-06-01,30520
1030,1939-05-01,30145
1031,1939-04-01,29786
1032,1939-03-01,29804
1033,1939-02-01,29394
1034,1939-01-01,29296
